,num,name,sr,hr,lr,bic
0,0,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0283,180398,180342,11302,180913
1,1,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0120,119301,117561,7469,119961
2,2,682467_1368610_2017-08-11_102d_BGRN_Analytic_s0041,0,0,0,0
3,3,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0152,139720,139683,8738,140006
4,4,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0948,208267,208522,13062,209070
5,5,661490_1269014_2017-08-01_1024_BGRN_Analytic_s0551,169688,169472,10605,169768
6,6,660535_1066622_2017-08-01_1041_BGRN_Analytic_s0728,131930,133638,8419,135094
7,7,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0639,177903,178447,11181,178788
8,8,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0707,151748,152240,9550,152944
9,9,514940_1168617_2017-05-22_102d_BGRN_Analytic_s0394,0,0,0,0
10,10,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0499,192812,194628,12240,196286
11,11,624964_1066622_2017-07-15_0f28_BGRN_Analytic_s0668,20358,20094,1210,19101
12,12,498793_1166117_2017-05-11_0e14_BGRN_Analytic_s0237,60181,58220,3686,58944
13,13,585726_1269313_2017-06-28_1010_BGRN_Analytic_s0037,164111,164546,10299,164665
14,14,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0832,145102,145321,9155,146473
15,15,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0394,133999,134462,8534,136363
16,16,570602_1166117_2017-06-22_1013_BGRN_Analytic_s0055,196674,196987,12393,198509
17,17,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0933,170457,170565,10704,171404
18,18,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0366,3870,3888,214,3358
19,19,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0324,16713,17564,882,13512
20,20,716222_1368610_2017-08-27_0e0f_BGRN_Analytic_s0554,0,0,0,0
21,21,622194_1368808_2017-07-14_102d_BGRN_Analytic_s0740,170075,170440,10701,171913
22,22,581200_1368610_2017-06-26_1030_BGRN_Analytic_s0241,136234,137349,8612,138089
23,23,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0562,210267,210762,13211,211874
24,24,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0416,173160,173689,10902,175121
25,25,682789_1269014_2017-08-10_1018_BGRN_Analytic_s0111,92754,93041,5873,94100
26,26,585620_1166117_2017-06-28_0f22_BGRN_Analytic_s0409,139107,139101,8705,139530
27,27,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0330,184543,185091,11610,186199
28,28,584870_1368808_2017-06-27_1038_BGRN_Analytic_s0678,15696,15536,956,14853
29,29,660571_1269313_2017-08-01_1028_BGRN_Analytic_s0310,214652,214962,13449,215341
30,30,682467_1368610_2017-08-11_102d_BGRN_Analytic_s0282,0,0,0,0
31,31,613323_1268017_2017-07-10_103e_BGRN_Analytic_s0122,25,15,0,0
32,32,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0028,0,0,0,0
33,33,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0422,4340,4810,238,3756
34,34,663913_1269014_2017-08-02_1042_BGRN_Analytic_s0190,171337,171576,10736,171729
35,35,592143_1269313_2017-07-01_1006_BGRN_Analytic_s0757,190453,191494,12064,193465
36,36,647540_1066622_2017-07-26_0e3a_BGRN_Analytic_s0565,134744,136927,8617,138280
37,37,684055_1269313_2017-08-12_0f43_BGRN_Analytic_s0199,15457,16991,876,13516
